Brand Name,Active Ingredient,Company
Truvada,emtricitabine/tenofovir disoproxil fumarate,Gilead Sciences
Harvoni,ledipasvir/sofosbuvir,Gilead Sciences
Sovaldi,sofosbuvir,Gilead Sciences
Atripla,efavirenz/emtricitabine/tenofovir,Gilead Sciences / BMS
Epogen,epoetin alfa,Amgen
Procrit,epoetin alfa,Johnson & Johnson
Afinitor,everolimus,Novartis
Tykerb,lapatinib,Novartis
Xalkori,crizotinib,Pfizer
Inlyta,axitinib,Pfizer
Votrient,pazopanib,Novartis
Vimpat,lacosamide,UCB
CellCept,mycophenolate mofetil,Roche
Prograf,tacrolimus,Astellas
Prozac,fluoxetine,Eli Lilly
Zoloft,sertraline,Pfizer
Effexor XR,venlafaxine,Pfizer
Provigil,modafinil,Teva
Sandostatin,octreotide,Novartis
Nasonex,mometasone,Merck & Co.
