Brand Name,Active Ingredient,Company
Keytruda,pembrolizumab,Merck & Co.
Biktarvy,bictegravir/emtricitabine/TAF,Gilead Sciences
Trikafta,elexacaftor/tezacaftor/ivacaftor,Vertex Pharmaceuticals
Opdivo,nivolumab,Bristol Myers Squibb
Gardasil / Gardasil 9,HPV Vaccine,Merck & Co.
Entresto,sacubitril/valsartan,Novartis
Ocrevus,ocrelizumab,Roche
Tagrisso,osimertinib,AstraZeneca
Alecensa,alectinib,Roche
Calquence,acalabrutinib,AstraZeneca
Enhertu,trastuzumab deruxtecan,Daiichi Sankyo / AstraZeneca
Jakafi,ruxolitinib,Incyte
Kadcyla,trastuzumab emtansine,Roche
Lenvima,lenvatinib,Eisai / Merck
Lynparza,olaparib,AstraZeneca / Merck
Mekinist,trametinib,Novartis
Perjeta,pertuzumab,Roche
Pomalyst,pomalidomide,Bristol Myers Squibb
Sprycel,dasatinib,Bristol Myers Squibb
Tafinlar,dabrafenib,Novartis
Tasigna,nilotinib,Novartis
Tecentriq,atezolizumab,Roche
Yervoy,ipilimumab,Bristol Myers Squibb
Zytiga,abiraterone acetate,Johnson & Johnson
Actemra,tocilizumab,Roche
Benlysta,belimumab,GSK
Cimzia,certolizumab pegol,UCB
Cosentyx,secukinumab,Novartis
Enbrel,etanercept,Amgen
Fasenra,benralizumab,AstraZeneca
Orencia,abatacept,Bristol Myers Squibb
Otezla,apremilast,Amgen
Remicade,infliximab,Johnson & Johnson
Simponi,golimumab,Johnson & Johnson
Brilinta,ticagrelor,AstraZeneca
Farxiga,dapagliflozin,AstraZeneca
Januvia,sitagliptin,Merck & Co.
Lantus,insulin glargine,Sanofi
Leqvio,inclisiran,Novartis
Pradaxa,dabigatran,Boehringer Ingelheim
Praluent,alirocumab,Sanofi / Regeneron
Repatha,evolocumab,Amgen
Toujeo,insulin glargine,Sanofi
Tradjenta,linagliptin,Boehringer Ingelheim
Victoza,liraglutide,Novo Nordisk
Xarelto,rivaroxaban,Bayer / Johnson & Johnson
Comirnaty,COVID-19 Vaccine,Pfizer / BioNTech
Descovy,emtricitabine/TAF,Gilead Sciences
Dovato,dolutegravir/lamivudine,ViiV Healthcare
Epclusa,sofosbuvir/velpatasvir,Gilead Sciences
Genvoya,elvitegravir/cobicistat/emtricitabine/TAF,Gilead Sciences
Odefsey,emtricitabine/rilpivirine/TAF,Gilead Sciences
Shingrix,Zoster Vaccine Recombinant,GSK
Spikevax,COVID-19 Vaccine,Moderna
Tivicay,dolutegravir,ViiV Healthcare
Triumeq,abacavir/dolutegravir/lamivudine,ViiV Healthcare
Aimovig,erenumab,Amgen / Novartis
Evrysdi,risdiplam,Roche
Invega Sustenna,paliperidone palmitate,Johnson & Johnson
Kesimpta,ofatumumab,Novartis
Latuda,lurasidone,Sunovion
Spinraza,nusinersen,Biogen
Vyvanse,lisdexamfetamine,Takeda
Eylea,aflibercept,Regeneron / Bayer
Hemlibra,emicizumab,Roche
Lucentis,ranibizumab,Roche / Novartis
Prolia,denosumab,Amgen
Soliris,eculizumab,AstraZeneca
Spiriva,tiotropium,Boehringer Ingelheim
Symbicort,budesonide/formoterol,AstraZeneca
Ultomiris,ravulizumab,AstraZeneca
Vabysmo,faricimab,Roche
Xgeva,denosumab,Amgen
